NAME,RA,DEC,SPECT_TYPE,MIN_MAG_LIMIT,MIN_MAG,MAX_MAG_LIMIT,MAX_MAG,VARIABILITY_TYPE,PERIOD_LIMIT,PERIOD,PERIOD_FLAG,LII,BII,EPOCH,EPOCH_PRECISION,NOVA_YEAR,NOVA_YEAR_FLAG
V906 Oph,261.54042,-21.90778,pec(Nova),>,13.0,,8.4,NA,,,,3.58898,7.47336,34240.0,0,1952,
V1174 Sgr,270.40833,-28.73333,ea,>,18.0,,12.0,N,,,,1.95295,-2.9203,34064.0,0,1952,
V1175 Sgr,273.56667,-31.11806,pec(Nova),>,12.0,,7.0,NA,,,,1.17383,-6.46629,34064.0,0,1952,
V722 Sco,267.15417,-34.96583,,>,13.0,,9.4,N,,,,355.16556,-3.66335,34075.0,0,1952,
V723 Sco,267.52208,-35.39944,,,22.2,,9.0,NA,,,,354.94604,-4.14343,34236.0,0,1952,
V841 Aql,286.91579,10.49547,pec(Nova),,20.9,,11.5,NB,,,,44.11104,1.21243,33743.0,0,1951,
V1172 Sgr,267.59858,-20.67497,pec(Nova),>,10.0,,9.0,N,,,,7.63936,3.33529,33713.0,0,1951,
V2415 Sgr,268.29833,-29.57361,ea,>,18.0,,13.0,N:,,,,0.30265,-1.74449,33918.0,0,1951,
DK Lac,342.44575,53.28883,pec(Nova),,15.5,,5.0,NA,,,,105.23716,-5.35147,33304.0,0,1950,
V719 Sco,266.43279,-34.01528,pec(Nova),>,18.5,,9.8,NA,,,,355.67369,-2.66352,33482.0,0,1950,
V721 Sco,265.62121,-34.67819,pec(Nova),>,18.0,,9.5,N,,,,354.75747,-2.43847,33528.0,0,1950,
V720 Sco,267.9925,-35.39083,pec(Nova),>,18.0,,7.5,NA,,,,355.14862,-4.46949,33500.0,0,1950,
EU Sct,284.055,-4.20833,pec(Nova),,17.0,,8.0,NA,,,,29.72755,-2.9796,33135.0,0,1949,
V394 CrA,270.10883,-39.00975,pec(Nova),>,13.5,,7.5,NA,,,,352.82243,-7.72324,32999.0,0,1949,
V902 Sco,261.53517,-39.06678,ea,,17.0,,11.0,N:,,,,349.29506,-2.06848,33058.0,0,1949,
V1162 Cyg,298.69046,36.78647,,>,17.6,,15.8,NL:,,,,72.31795,4.509,32618.0,0,1948,
V465 Cyg,298.15771,36.56444,pec(Nova),>,17.9,,7.3,NB,,,,71.90771,4.76329,32704.0,0,1948,
CT Ser,236.41275,14.37567,pec(Nova),,16.6,,6.0,NA,,,,24.48205,47.563,32600.0,0,1948,
V365 Car,165.81658,-58.45764,pec(e),,21.6,,10.1,NB,,,,289.1678,1.49337,32820.0,0,1948,
V1151 Sgr,276.34929,-20.19961,pec(Nova),>,16.0,,10.0,N,,,,12.04481,-3.5975,32320.0,0,1947,
V928 Sgr,274.75129,-28.10044,pec(Nova),>,14.7,,8.5,N,,,,4.34245,-5.97227,32316.0,0,1947,
T CrB,239.87567,25.92017,M3III+pec(Nova),,10.8,,2.0,NR,(,29000.0,,42.3738,48.16469,31860.0,0,1946,
V1150 Sgr,274.73079,-24.09214,pec(Nova),>,16.1,,12.0,N,,,,7.89312,-4.0861,,0,1946,
V528 Aql,289.82963,0.6315,pec(Nova),,18.1,,7.0,NA,,,,36.68681,-5.91021,31695.0,0,1945,
V1149 Sgr,274.62696,-28.288,pec(Nova),>,16.5,,7.4,N,,,,4.12427,-5.96227,31500.0,0,1945,
V1431 Sgr,270.87329,-29.99844,,>,19.2,,17.2,N:,,,,1.04775,-3.89407,31675.0,0,1945,
V927 Sgr,271.92983,-33.35483,pec(Nova),>,16.5,,7.5,NA,,,,358.53212,-6.30152,31197.0,0,1944,
V696 Sco,268.29842,-35.83761,pec(Nova),>,16.5,,7.5,NA,,,,354.88721,-4.90947,31226.0,0,1944,
RR Tel,301.07725,-55.72589,pec,,16.5,,6.5,NC,,,,342.16266,-32.24178,,0,1944,
V500 Aql,298.11654,8.47969,pec(Nova),,17.8,,6.4,NA+E,,,,47.60861,-9.46246,30845.0,0,1943,
V1148 Sgr,272.27425,-25.98544,pec(Nova),>,16.0,,8.0,N,,,,5.16424,-3.02805,30956.0,0,1943,
V450 Cyg,314.69829,35.94153,pec(Nova),>,17.0,,7.0,NB,,,,79.12823,-6.45762,30510.0,0,1942,
KT Mon,96.32708,5.44222,pec(Nova),,15.5,,9.8,NA,,,,205.09955,-3.29901,30718.0,0,1942,
CP Pup,122.94192,-35.35139,pec(Nova),>,17.0,,0.5,NA,,,,252.92604,-0.83522,30675.0,0,1942,
V909 Sgr,276.46929,-35.02417,pec(Nova),>,16.0,,6.8,NA,,,,358.76705,-10.40368,30172.0,0,1941,
V697 Sco,267.84142,-37.41567,,>,16.5,,8.0,NA,,,,353.33286,-5.38717,30000.0,0,1941,
CI Gem,97.52442,22.31408,,>,18.0,,14.7,N:,,,,190.66589,5.54199,29632.0,0,1940,
V2110 Oph,265.88904,-22.75997,pec(Nova)+M8,,22.0,,12.0,NC,,,,5.02912,3.61971,,0,1940,:
V553 Oph,265.72292,-24.85728,,>,16.5,,11.0,NA,,,,3.15956,2.65168,29830.0,0,1940,
CQ Vel,134.7105,-53.33639,,>,16.5,,9.0,NA,,,,272.33064,-4.89498,29739.0,0,1940,
BT Mon,100.94683,-2.02028,pec(Nova),,18.7,,4.0,NA+EA,,,,213.85915,-2.6228,29503.0,0,1939,
V794 Oph,264.70504,-22.84681,,>,16.0,,11.5,NB,,,,4.37978,4.50249,29510.0,0,1939,
V404 Cyg,306.01596,33.86747,,>,18.5,,11.5,N,,,,73.11899,-2.09133,29186.0,0,1938,
V787 Sgr,270.00908,-30.50833,pec,>,16.5,,7.2,NA,,,,0.23518,-3.49441,28680.0,0,1937,
V745 Sco,268.8425,-33.24967,,>,14.9,,11.0,NA,,,,357.35825,-3.99889,28665.0,0,1937,
YY Dor,89.17658,-68.90953,,>,18.0,,10.8,NR,,,,279.10097,-30.07907,28861.0,0,1937,
CP Lac,333.92146,55.61708,pec(Nova),,16.6,,2.1,NA,,,,102.14133,-0.83748,28340.0,1,1936,
V368 Aql,291.64337,7.60378,pec(Nova),,16.5,,5.0,NA+EA,,,,43.72739,-4.26541,28438.4,1,1936,
V356 Aql,289.30638,1.72281,pec(Nova),,17.7,,7.0,NB,,,,37.41837,-4.94365,28444.0,0,1936,
V726 Sgr,274.89092,-26.88872,pec(Nova),>,16.5,,9.0,NA,,,,5.47888,-5.51941,28290.0,0,1936,
V732 Sgr,269.03129,-27.37131,pec(Nova),>,16.0,,6.0,NA,,,,2.52956,-1.1883,28280.0,0,1936,
V990 Sgr,269.328,-28.31897,,>,14.7,,11.1,NA,,,,1.84113,-1.89067,28424.0,0,1936,
V630 Sgr,272.20217,-34.33914,pec(Nova),,14.4,,1.6,NA,,,,357.76804,-6.96784,28445.0,0,1936,
V1310 Sgr,278.75421,-30.05989,,>,15.5,,11.1,N:,,,,4.15948,-9.97743,27983.0,0,1935,
V744 Sco,268.32662,-31.22508,,>,15.6,,13.3,N:,,,,358.89028,-2.60243,27846.0,0,1935,
AP Cru,187.83525,-64.44019,,>,15.0,,10.7,NA,,,,300.76556,-1.65301,27885.0,0,1935,
DQ Her,271.87579,45.85889,pec(Nova),,18.08,,1.3,NB+EA,,,,73.15286,26.44374,27794.0,0,1934,
BD Pav,280.79929,-57.51233,pec(UG),,16.21,,12.4,UG:+EW/WD,,,,338.18182,-21.55787,27688.0,0,1934,
V737 Sgr,271.78733,-28.74803,,>,13.0,,9.5,N,,,,2.53114,-3.98288,27249.0,0,1933,
V1905 Sgr,278.42521,-25.34522,,>,16.5,,9.1,NA,,,,8.31556,-7.64339,26803.0,0,1932,
V522 Sgr,282.00221,-25.37394,,,17.5,,13.9,N:,,,,9.71395,-10.56606,26570.0,0,1931,
MT Cen,176.00246,-60.56297,,,19.0,,8.4,NA,,,,294.73645,1.2314,26472.0,0,1931,
V441 Sgr,275.53371,-25.47983,pec(Nova),,16.5,,8.7,NA,,,,7.00151,-5.37742,26230.0,0,1930,
BC Cas,357.82275,60.30283,pec(e),,17.7,,10.7,NA:,,,,115.54399,-1.70331,25825.0,0,1929,
V1583 Sgr,273.86037,-23.38839,,>,16.5,,8.9,NA,,,,8.13835,-3.0516,25422.0,0,1928,
KP Sco,266.07042,-35.72297,,>,16.5,,9.4,NA,,,,354.05842,-3.29804,25419.0,0,1928,
XX Tau,79.85183,16.71678,pec(Nova),,16.5,,6.0,NA,,,,187.10406,-11.65363,25154.0,0,1927,
EL Aql,284.00829,-3.32208,pec(Nova),,20.0,,6.4,NA,,,,30.49677,-2.53544,25043.0,0,1927,
V363 Sgr,287.81788,-29.83356,pec(Nova),>,16.0,,8.0,NA,,,,7.62944,-17.072,25096.0,0,1927,
VZ Tuc,8.50542,-73.27111,,>,18.0,,11.4,NA,,,,304.6669,-43.79842,25230.0,0,1927,
EY Aql,293.6855,15.031,,>,20.0,,10.5,NA:,,,,51.22149,-2.47532,24762.0,0,1926,
FM Sgr,274.32608,-23.64108,,,16.5,,8.2,NA,,,,8.11767,-3.54737,24727.0,0,1926,
KY Sgr,270.33808,-26.41239,,>,16.5,,10.5,NA,,,,3.94233,-1.72044,24666.0,0,1926,
X Cir,220.69583,-65.21,pec(Nova),>,16.5,,6.5,NB,,,,314.26325,-4.81736,24762.0,0,1926,
RY Dor,78.74167,-66.83667,,>,18.0,,12.4,N,,,,277.20103,-34.21316,24767.0,0,1926,
DO Aql,292.8575,-6.42739,pec(Nova),,18.8,,8.7,NB+EA,,,,31.70489,-11.80538,24450.0,0,1925,
RR Pic,98.90025,-62.64008,pec(Nova),,12.52,,1.2,NB,,,,272.35495,-25.67193,24310.0,0,1925,
GR Sgr,275.74392,-25.57972,,,16.6,,7.5,NA:,,,,7.0005,-5.59179,23906.0,0,1924,
FL Sgr,270.12567,-34.60319,,>,13.0,,8.3,NA,,,,356.70686,-5.59394,23960.0,0,1924,
V707 Sco,267.11037,-36.63194,pec(Nova),>,15.0,,9.9,N,,,,353.71274,-4.48628,23253.0,0,1922,
CK Cyg,298.39362,56.98603,,>,17.0,,12.0,NC:,,,,90.07658,14.62527,22586.0,0,1920,
V476 Cyg,299.602,53.61853,pec(Nova),,17.09,,2.0,NA,,,,87.36737,12.41741,22561.0,0,1920,
IM Nor,234.86029,-52.32167,,>,20.0,,9.0,NB,,,,327.09798,2.48537,22512.0,0,1920,
HR Lyr,283.35396,29.22708,pec(Nova),,15.8,,6.5,NA,,,,59.58416,12.47076,22299.0,0,1919,
V849 Oph,273.53042,11.61183,pec(Nova),>,17.5,,7.2,NB,,,,39.23318,13.47958,22268.0,0,1919,
RZ Leo,174.34262,1.81619,,,17.5,,11.5,NR,,,,264.7719,59.08621,21665.0,0,1918,
V603 Aql,282.22767,0.58414,pec(Nova),,12.15,,-1.4,NA+XM:,,,,33.16373,0.82865,21755.0,0,1918,
GI Mon,111.69633,-6.67497,pec(Nova),,15.1,,5.2,NA,,,,222.93025,4.74909,21595.0,0,1918,
BS Sgr,276.69462,-27.13886,,>,16.0,,9.2,NB:,,,,5.99688,-7.06201,21427.0,0,1917,
V840 Oph,253.68346,-29.62433,,>,17.0,,6.5,NA,,,,353.09662,8.72857,21344.0,0,1917,
SS Sge,294.78479,16.71114,,>,16.0,,11.7,N:,,,,53.2058,-2.58035,21090.0,0,1916,
GR Ori,80.39717,1.17006,,>,20.0,,11.5,N,,,,201.17134,-19.30889,20893.0,0,1916,
GL Sct,281.45162,-6.42061,,>,16.8,,13.6,N:,,,,26.57599,-1.67682,20629.0,0,1915,
V949 Sgr,280.26337,-28.15992,,>,17.0,,15.8,M,,,,6.47833,-10.3496,20330.0,0,1914,
V1012 Sgr,271.55875,-31.74114,,>,17.0,,8.0,NA,,,,359.80519,-5.25386,20356.0,0,1914,
AI Cir,222.38037,-68.85997,,>,16.5,,10.9,N,,,,313.28018,-8.39484,20282.0,0,1914,
DN Gem,103.72654,32.14119,pec(Nova),,15.76,,3.6,NB,,,,184.01813,14.71377,19476.0,0,1912,
DI Lac,338.95246,52.71653,pec(Nova),,14.91,,4.3,NA,,,,103.10758,-4.85505,19000.5,1,1910,
V999 Sgr,270.02367,-27.55392,pec(Nova),,16.6,,7.5,NB,,,,2.81125,-2.04236,18680.0,0,1910,
OY Ara,250.21013,-52.43072,pec(Nova),,17.5,,6.0,NA+EA,,,,333.90209,-3.93737,18767.0,0,1910,
SS UMa,210.51125,54.46583,,>,20.8,,13.5,SN,,,,102.44586,59.76445,18359.0,0,1909,
V711 Sco,268.52542,-34.35461,,>,15.5,,9.7,NB,,,,356.26728,-4.32504,17394.0,0,1906,
AR Cir,222.03858,-60.00689,,,18.0,,10.3,NB,,,,317.03841,-0.37114,17258.0,0,1906,
SV Ari,51.26392,19.83136,,,22.1,,12.0,N:,,,,165.41654,-30.09134,17156.0,0,1905,
V604 Aql,285.52587,-4.44581,pec(Nova),,19.9,,7.6,NA,,,,30.18177,-4.39455,17072.0,0,1905,
V1015 Sgr,272.25813,-32.47556,,>,12.0,,7.1,NA,,,,359.44194,-6.12543,17054.0,0,1905,
CN Vel,165.66067,-54.38603,pec(Nova),>,16.5,,9.8,NB,,,,287.43076,5.17839,17150.0,0,1905,
DM Gem,101.05042,29.945,pec(Nova),,16.5,,4.8,NA,,,,185.12681,11.7281,16179.0,0,1903,
X Ser,244.82358,-2.49136,pec(e),,18.3,,9.0,NB,,,,10.84074,31.87253,16200.0,0,1903,
DY Pup,123.45204,-26.56581,,>,16.0,,7.0,N,,,,245.82302,4.36157,16073.0,0,1902,
GK Per,52.80004,43.90428,pec(Nova),,14.0,,0.2,NA+XP,,,,150.95597,-10.10414,15439.0,0,1901,
V1289 Aql,294.67563,12.27258,,>,15.5,,13.0,NL:,,,,49.27243,-4.65493,16315.0,0,1901,
V1014 Sgr,271.69117,-27.43789,,>,16.1,,10.8,NB,,,,3.63873,-3.27447,15551.0,0,1901,
V382 Sco,267.98433,-35.41817,,>,16.5,,9.0,NA,,,,355.12159,-4.47756,15631.0,0,1901,
HS Sgr,277.01471,-21.57372,,,16.5,,10.0,NB,,,,11.11,-4.78303,15264.0,0,1900,
AT Sgr,270.87908,-26.47478,,>,16.5,,11.0,NA,,,,4.12679,-2.17271,15283.0,0,1900,
V606 Aql,290.10104,-0.13386,pec(Nova),,17.3,,5.5,NA,,,,36.12824,-6.50273,14754.0,0,1899,
V1016 Sgr,274.99012,-25.18739,,,15.0,,7.0,NA,,,,7.03252,-4.80649,14877.0,0,1899,
V1059 Sgr,285.46067,-13.16167,pec(Nova),,16.5,,4.5,NA,,,,22.30585,-8.23058,14360.0,0,1898,
BB Oph,261.12571,-24.80167,,>,18.0,,11.3,N,,,,0.94693,6.19344,14067.0,0,1897,
LQ Sgr,277.12079,-27.92181,,>,16.5,,10.0,NA,,,,5.46388,-7.75227,14189.0,0,1897,
Z Cen,204.989,-31.63508,pec(SN),>,20.5,,8.0,SNI,,,,314.86706,30.10974,13383.0,0,1895,
RS Car,167.02371,-61.93544,pec(Nova),>,18.0,,7.0,NA,,,,291.097,-1.4618,13285.0,0,1895,
V5557 Sgr,270.43025,-35.65772,,>,16.5,,12.3,N,,,,355.90288,-6.32515,12595.0,0,1893,
IL Nor,232.34579,-50.58344,pec(Nova),>,16.3,,7.0,NB,,,,326.83498,4.81056,12638.0,0,1893,
T Aur,82.99638,30.44597,pec(Nova),,15.5,,4.1,NB+EA,,,,177.14276,-1.69839,12088.0,0,1891,
V Per,30.47479,56.73431,pec(Nova),>,17.5,,4.0,N,,,,132.52126,-4.81985,10500.0,0,1887,
S And,10.67958,41.26806,(SNI),>,16.0,,5.8,SNI,,,,121.17015,-21.57386,9775.0,0,1885,
AB Boo,211.76667,20.73333,,,,,4.5,N:,,,,16.67493,71.59856,,0,1877,
Q Cyg,325.43304,42.84142,pec(Nova),,15.6,,3.0,NA,,,,89.92851,-7.55245,6583.0,0,1876,
AG Peg,327.75825,12.62558,WN6+M3III,,9.4,,6.0,NC,,,,69.2778,-30.88689,,0,1870,
SY Gem,100.16312,31.18203,,>,13.0,,9.2,N:,,,,183.65318,11.55279,,0,1866,:
V728 Sco,264.80504,-45.47928,,>,11.0,,5.0,N:,,,,345.19243,-7.56872,1420.0,0,1862,
T Boo,213.52917,19.06667,,>,17.0,,9.7,N:,,,,14.2976,69.38592,510.0,0,1860,
T Sco,244.26179,-22.97536,,>,12.0,,6.8,NA,,,,352.67494,19.46233,552.0,0,1860,
VZ Gem,121.94167,30.84944,,,16.0,,8.7,N:,,,,190.8963,28.92172,99040.0,0,1856,
W Ari,50.1875,28.95306,,>,20.0,,9.5,N:,,,,158.27784,-23.48501,,0,1855,
U Leo,156.01587,14.00719,,>,14.0,,9.5,N:,,,,226.33573,53.26643,,0,1855,
SU Ari,42.12708,17.36306,,>,14.5,,9.5,N:,,,,158.80466,-37.2233,,0,1854,
V841 Oph,254.87654,-12.89089,pec(cont+e),,13.5,,4.3,NB,,,,7.62112,17.77848,,0,1848,
WY Sge,293.18275,17.74853,pec(e+cont),,20.7,,5.4,N+UG:+EA,,,,53.36766,-0.73882,72494.0,0,1783,
V529 Ori,89.58396,20.26261,,>,11.0,,6.0,NR:,,,,188.93511,-1.93731,,0,1678,:
CK Vul,296.90883,27.31328,ea,,20.0,,2.7,NB,,,,63.38309,0.98936,,0,1670,
V843 Oph,262.655,-21.48083,,>,19.0,,-3.0,SNI,,,,4.51827,6.83725,,0,1604,
B Cas,6.33958,64.14083,,>,19.0,,-4.5,SNI:,,,,120.0923,1.41297,,0,1572,
CM Tau,83.63313,22.01456,cont,,17.7,,-6.0,SN+PSR,,,,184.55742,-5.7843,,0,1054,
