SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
2838,[MML2015] 5BZQ J1740+5211,265.154042,52.195389,0.016666667,1.381,,807,17.2,5.80E-13,QSO RLOUD FLAT RADIO SP.,79.56367,31.74811,748,2.50E-09,0.68
1967,[MML2015] 5BZG J1243+5212,190.787417,52.212528,0.016666667,0.2,,39,17.3,1.50E-13,BL LAC-GALAXY DOMINATED,125.922003,64.867578,0,,0.321
1252,[MML2015] 5BZQ J0909+5216,137.352792,52.275719,0.016666667,0.41,,87,17.7,5.50E-13,QSO RLOUD FLAT RADIO SP.,165.660542,41.993871,0,,0.473
1057,[MML2015] 5BZB J0809+5218,122.454958,52.316219,0.016666667,0.138,,182,15.3,8.26E-12,BL LAC,166.245017,32.910398,0,2.40E-09,0.364
1632,[MML2015] 5BZQ J1107+5219,166.857583,52.325439,0.016666667,0.944,,183,18.4,,QSO RLOUD FLAT RADIO SP.,153.483124,58.188856,0,,0.617
3108,[MML2015] 5BZB J2039+5219,309.847917,52.330528,0.016666667,0.053,,41,16.2,1.04E-12,BL LAC CANDIDATE,89.692714,6.552679,0,4.00E-10,0.058
2678,[MML2015] 5BZB J1630+5221,247.679708,52.360719,0.016666667,,,121,17,3.30E-13,BL LAC,80.410925,42.39342,0,1.00E-09,0.415
1649,[MML2015] 5BZQ J1111+5227,167.774458,52.463639,0.016666667,1.28,,115,17.7,1.20E-13,QSO RLOUD FLAT RADIO SP.,152.563348,58.503745,0,,0.524
1946,[MML2015] 5BZQ J1235+5228,188.877292,52.474358,0.016666667,1.653,,88,18,,QSO RLOUD FLAT RADIO SP.,128.566469,64.47928,0,,0.538
1542,[MML2015] 5BZQ J1041+5233,160.444917,52.557828,0.016666667,0.678,,698,16.7,6.00E-13,QSO RLOUD FLAT RADIO SP.,157.521302,54.965785,0,,0.613
2719,[MML2015] 5BZB J1649+5235,252.354083,52.587497,0.016666667,,,50,17.3,,BL LAC,80.182226,39.542877,0,7.00E-10,0.401
1275,[MML2015] 5BZG J0916+5238,139.216417,52.641219,0.016666667,0.19,,73,16.7,3.83E-12,BL LAC-GALAXY DOMINATED,164.898187,43.046172,0,,0.372
1766,[MML2015] 5BZQ J1148+5254,177.235708,52.907028,0.016666667,1.632,,93,16.6,1.50E-13,QSO RLOUD FLAT RADIO SP.,142.982045,61.720522,0,,0.457
2815,[MML2015] 5BZB J1729+5255,262.328167,52.933139,0.016666667,0.349,,16,18,7.20E-13,BL LAC,80.327814,33.503179,0,,0.368
2648,[MML2015] 5BZQ J1619+5256,244.926583,52.937058,0.016666667,2.347,,182,16.7,1.80E-13,QSO RLOUD FLAT RADIO SP.,81.639953,43.915901,0,,0.495
2551,[MML2015] 5BZU J1545+5259,236.270458,52.990419,0.016666667,0.291,,208,17.9,,BLAZAR UNCERTAIN TYPE,83.956429,48.876537,0,,0.52
1297,[MML2015] 5BZB J0924+5300,141.024208,53.009389,0.016666667,0.64,,8,20.2,2.00E-13,BL LAC,164.081966,44.035446,0,,0.541
2001,[MML2015] 5BZB J1253+5301,193.299667,53.019919,0.016666667,,,488,17.5,2.70E-13,BL LAC,122.325579,64.106259,0,4.00E-10,0.595
2282,[MML2015] 5BZQ J1413+5305,213.351125,53.090828,0.016666667,0.456,,140,19.4,1.80E-13,QSO RLOUD FLAT RADIO SP.,98.137806,59.912405,0,,0.688
1325,[MML2015] 5BZQ J0932+5306,143.171458,53.109389,0.016666667,0.597,,482,18.8,,QSO RLOUD FLAT RADIO SP.,163.497051,45.261026,0,,0.735
2261,[MML2015] 5BZB J1406+5308,211.678042,53.142747,0.016666667,0.458,,11,19.5,2.10E-13,BL LAC,99.813508,60.475706,0,,0.532
873,[MML2015] 5BZQ J0631+5311,97.894667,53.191,0.016666667,2.204,,757,19.5,,QSO RLOUD FLAT RADIO SP.,161.966545,18.598185,0,,0.799
793,[MML2015] 5BZQ J0541+5312,85.317375,53.206889,0.016666667,1.275,,652,17.9,9.00E-14,QSO RLOUD FLAT RADIO SP.,158.622166,11.799772,0,,0.631
1169,[MML2015] 5BZB J0844+5312,131.04875,53.214078,0.016666667,,,47,18.3,1.60E-13,BL LAC,165.048718,38.093384,0,5.00E-10,0.476
1263,[MML2015] 5BZG J0912+5320,138.007,53.343247,0.016666667,0.102,,169,15.9,2.20E-13,BL LAC-GALAXY DOMINATED,164.151043,42.197348,0,,0.342
2528,[MML2015] 5BZB J1535+5320,233.753375,53.343669,0.016666667,,,18,18.1,1.10E-11,BL LAC,85.368684,50.125713,0,,0.373
2738,[MML2015] 5BZQ J1656+5321,254.165042,53.363558,0.016666667,1.553,,94,19,1.50E-13,QSO RLOUD FLAT RADIO SP.,81.037637,38.381462,0,,0.632
1549,[MML2015] 5BZQ J1044+5322,161.044458,53.372358,0.016666667,1.901,,491,19.4,3.30E-13,QSO RLOUD FLAT RADIO SP.,155.99959,54.799634,0,,0.795
1952,[MML2015] 5BZU J1238+5325,189.532333,53.432219,0.016666667,0.348,,115,17.3,1.86E-12,BLAZAR UNCERTAIN TYPE,127.388982,63.580708,0,,0.409
1307,[MML2015] 5BZG J0927+5327,141.794167,53.458778,0.016666667,0.201,,5,17,1.08E-12,BL LAC-GALAXY DOMINATED,163.319534,44.375482,0,,0.153
1197,[MML2015] 5BZQ J0854+5327,133.573292,53.459808,0.016666667,2.418,,25,17.2,,QSO RLOUD FLAT RADIO SP.,164.539059,39.568121,0,,0.366
2194,[MML2015] 5BZU J1345+5332,206.438958,53.547858,0.016666667,0.135,,420,17,1.86E-12,BLAZAR UNCERTAIN TYPE,105.79824,61.736281,290,,0.503
2205,[MML2015] 5BZQ J1349+5341,207.394417,53.688058,0.016666667,0.979,,1096,17.4,3.50E-13,QSO RLOUD FLAT RADIO SP.,104.871681,61.354228,226,,0.689
1056,[MML2015] 5BZQ J0809+5341,122.423792,53.690308,0.016666667,2.133,,140,20.4,,QSO RLOUD FLAT RADIO SP.,164.608432,32.95091,0,,0.766
2034,[MML2015] 5BZB J1300+5351,195.136542,53.853497,0.016666667,,,32,18.8,,BL LAC,119.950171,63.22199,0,,0.507
1017,[MML2015] 5BZB J0753+5352,118.25575,53.883219,0.016666667,,,803,17.9,4.20E-13,BL LAC,164.199822,30.505847,0,1.20E-09,0.707
1553,[MML2015] 5BZQ J1046+5354,161.600167,53.907278,0.016666667,1.71,,156,19.5,1.30E-13,QSO RLOUD FLAT RADIO SP.,154.91384,54.749732,0,,0.718
