SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
1343,[MML2015] 5BZQ J0941-8615,145.481708,-86.2505,0.016666667,3.697,,81,20,,QSO RLOUD FLAT RADIO SP.,299.899283,-24.556905,0,,0.624
1491,[MML2015] 5BZB J1026-8543,156.643667,-85.720639,0.016666667,,,267,16.9,2.60E-13,BL LAC,300.173251,-23.649011,0,9.00E-10,0.502
119,[MML2015] 5BZQ J0044-8422,11.110667,-84.377778,0.016666667,1.032,,530,17.8,,QSO RLOUD FLAT RADIO SP.,303.135593,-32.747707,0,7.00E-10,0.652
2098,[MML2015] 5BZQ J1322-8419,200.615542,-84.326139,0.016666667,1.139,,100,18.4,,QSO RLOUD FLAT RADIO SP.,303.75361,-21.503953,0,,0.592
3251,[MML2015] 5BZQ J2202-8338,330.580083,-83.636608,0.016666667,1.865,,1100,19.3,,QSO RLOUD FLAT RADIO SP.,307.962149,-31.74611,408,2.90E-09,0.827
775,[MML2015] 5BZQ J0533-8324,83.403208,-83.409469,0.016666667,0.774,,84,20,,QSO RLOUD FLAT RADIO SP.,295.814412,-29.143215,0,1.30E-09,0.675
1908,[MML2015] 5BZU J1224-8313,186.226542,-83.219469,0.016666667,,,510,19.7,,BLAZAR UNCERTAIN TYPE,302.098273,-20.390707,0,5.00E-10,0.803
127,[MML2015] 5BZQ J0047-8256,11.964083,-82.947058,0.016666667,1.112,,204,16.8,,QSO RLOUD FLAT RADIO SP.,303.06481,-34.180269,0,,0.506
936,[MML2015] 5BZB J0723-8247,110.914208,-82.794747,0.016666667,,,203,20.2,,BL LAC,294.996966,-25.896196,188,3.00E-10,0.744
1288,[MML2015] 5BZU J0921-8209,140.427917,-82.160058,0.016666667,1.291,,212,,,BLAZAR UNCERTAIN TYPE,296.226279,-22.191483,133,,
56,[MML2015] 5BZB J0019-8152,4.83575,-81.880919,0.016666667,,,83,16.1,5.10E-13,BL LAC,304.31364,-35.161048,0,9.00E-10,0.298
2706,[MML2015] 5BZB J1642-8108,250.738958,-81.143078,0.016666667,,,192,18.1,,BL LAC,311.027847,-22.190537,0,,0.641
243,[MML2015] 5BZB J0127-8108,21.7925,-81.139078,0.016666667,,,1075,16.7,6.76E-12,BL LAC,301.240463,-35.871513,0,,0.494
1803,[MML2015] 5BZU J1155-8101,178.94225,-81.021689,0.016666667,1.395,?,557,20,,BLAZAR UNCERTAIN TYPE,300.664871,-18.395958,0,1.00E-10,0.712
704,[MML2015] 5BZQ J0450-8101,72.522667,-81.017278,0.016666667,0.444,,821,18.8,4.50E-13,QSO RLOUD FLAT RADIO SP.,293.850989,-31.370995,951,,0.799
163,[MML2015] 5BZQ J0102-8012,15.561708,-80.210939,0.016666667,1.169,,113,19.8,1.70E-13,QSO RLOUD FLAT RADIO SP.,302.35756,-36.905255,0,,0.724
2975,[MML2015] 5BZQ J1912-8010,288.166708,-80.168308,0.016666667,1.756,,1200,19.2,,QSO RLOUD FLAT RADIO SP.,313.993287,-27.603077,298,,0.826
2989,[MML2015] 5BZQ J1923-8007,290.774083,-80.124669,0.016666667,1.481,,268,20,,QSO RLOUD FLAT RADIO SP.,314.029518,-28.050221,0,,0.735
1600,[MML2015] 5BZB J1058-8003,164.680458,-80.065058,0.016666667,0.581,,546,17.3,4.30E-13,BL LAC,298.009456,-18.288129,1513,2.70E-09,0.633
2980,[MML2015] 5BZQ J1916-7946,289.184708,-79.77275,0.016666667,0.204,,48,18,6.50E-13,QSO RLOUD FLAT RADIO SP.,314.437854,-27.784554,0,,0.473
2823,[MML2015] 5BZQ J1733-7935,263.419542,-79.598808,0.016666667,0.876,,354,17.6,,QSO RLOUD FLAT RADIO SP.,313.611603,-23.266865,0,,0.609
574,[MML2015] 5BZQ J0351-7921,57.85625,-79.365639,0.016666667,1.333,,57,18.6,,QSO RLOUD FLAT RADIO SP.,293.838142,-34.353234,0,,0.534
467,[MML2015] 5BZQ J0303-7914,45.837,-79.249028,0.016666667,1.115,,126,20.2,,QSO RLOUD FLAT RADIO SP.,295.725454,-35.962154,0,6.00E-10,0.733
2579,[MML2015] 5BZQ J1556-7914,239.24525,-79.234528,0.016666667,0.152,,6165,17.2,5.60E-13,QSO RLOUD FLAT RADIO SP.,311.178666,-19.468346,0,,0.777
396,[MML2015] 5BZQ J0229-7847,37.395625,-78.796,0.016666667,1.07,,352,18.8,,QSO RLOUD FLAT RADIO SP.,297.117913,-37.200442,0,,0.715
852,[MML2015] 5BZQ J0618-7843,94.625375,-78.717278,0.016666667,0.942,,214,17,3.60E-13,QSO RLOUD FLAT RADIO SP.,290.243226,-28.171309,0,,0.549
2319,[MML2015] 5BZQ J1423-7829,215.931458,-78.493028,0.016666667,0.789,,258,19.4,1.10E-13,QSO RLOUD FLAT RADIO SP.,307.607891,-16.46792,0,1.20E-09,0.686
480,[MML2015] 5BZQ J0308-7812,47.178292,-78.211558,0.016666667,1.326,,112,19,,QSO RLOUD FLAT RADIO SP.,294.680631,-36.622261,0,,0.615
3210,[MML2015] 5BZQ J2147-7812,326.774292,-78.206078,0.016666667,0.732,,292,18.6,,QSO RLOUD FLAT RADIO SP.,313.277439,-34.926548,0,,0.679
3229,[MML2015] 5BZQ J2152-7807,328.013125,-78.118497,0.016666667,3.997,,508,19.6,1.20E-13,QSO RLOUD FLAT RADIO SP.,313.164148,-35.178838,0,,0.734
3207,[MML2015] 5BZQ J2146-7755,326.62525,-77.931858,0.016666667,0.334,,275,19.2,1.09E-12,QSO RLOUD FLAT RADIO SP.,313.563137,-35.072749,388,,0.738
612,[MML2015] 5BZQ J0410-7750,62.67625,-77.845358,0.016666667,2.449,,440,18.6,,QSO RLOUD FLAT RADIO SP.,291.67382,-34.518408,0,,0.694
3261,[MML2015] 5BZQ J2206-7735,331.685208,-77.589939,0.016666667,0.98,,428,17.3,,QSO RLOUD FLAT RADIO SP.,313.017691,-36.107092,0,,0.572
1361,[MML2015] 5BZQ J0947-7731,146.964542,-77.526469,0.016666667,2.528,,183,18.3,,QSO RLOUD FLAT RADIO SP.,293.538613,-18.145738,0,,0.587
2639,[MML2015] 5BZQ J1617-7717,244.455292,-77.288469,0.016666667,1.71,,4044,16.7,5.50E-13,QSO RLOUD FLAT RADIO SP.,313.430561,-18.853769,768,2.10E-09,0.736
2942,[MML2015] 5BZG J1840-7709,280.160792,-77.157969,0.016666667,0.018,,1108,8.3,6.11E-12,BL LAC-GALAXY DOMINATED,317.2085,-25.802117,0,,-0.142
488,[MML2015] 5BZB J0311-7701,47.8555,-77.02625,0.016666667,0.32,,9,17.7,3.00E-14,BL LAC CANDIDATE,293.598462,-37.446742,0,,0.144
489,[MML2015] 5BZQ J0311-7651,47.980208,-76.864139,0.016666667,0.223,,797,15.4,2.43E-12,QSO RLOUD FLAT RADIO SP.,293.439641,-37.552558,0,,0.479
2672,[MML2015] 5BZU J1626-7638,246.658958,-76.64875,0.016666667,,,130,14.9,,BLAZAR UNCERTAIN TYPE,314.284434,-18.800821,0,5.00E-10,0.277
416,[MML2015] 5BZQ J0239-7626,39.752042,-76.445058,0.016666667,1.386,,367,18.6,3.10E-13,QSO RLOUD FLAT RADIO SP.,295.091556,-38.999818,0,,0.673
3216,[MML2015] 5BZQ J2147-7621,326.971458,-76.358108,0.016666667,1.884,,763,18.2,,QSO RLOUD FLAT RADIO SP.,315.029948,-36.102229,0,,0.705
164,[MML2015] 5BZQ J0102-7546,15.577458,-75.780828,0.016666667,1.017,,184,17.8,2.80E-13,QSO RLOUD FLAT RADIO SP.,302.043161,-41.328657,0,,0.601
3212,[MML2015] 5BZQ J2147-7536,326.803,-75.603669,0.016666667,1.138,,1952,16.9,6.30E-13,QSO RLOUD FLAT RADIO SP.,315.804308,-36.528289,2117,3.60E-09,0.675
1063,[MML2015] 5BZB J0811-7530,122.763458,-75.50775,0.016666667,,,147,17.2,4.30E-13,BL LAC,288.288257,-21.447692,0,2.70E-09,0.425
879,[MML2015] 5BZQ J0635-7516,98.94375,-75.271328,0.016666667,0.653,,5283,15.7,2.84E-12,QSO RLOUD FLAT RADIO SP.,286.368345,-27.158424,2868,1.70E-09,0.687
512,[MML2015] 5BZG J0320-7500,50.2175,-75.010578,0.016666667,0.077,,31,14,,BL LAC-GALAXY DOMINATED,291.35259,-38.567393,0,,0.106
811,[MML2015] 5BZB J0558-7459,89.691792,-74.984778,0.016666667,,,243,16.1,1.70E-13,BL LAC,286.077704,-29.534028,0,7.00E-10,0.44
1251,[MML2015] 5BZQ J0909-7445,137.33725,-74.75225,0.016666667,1.238,,626,18.6,,QSO RLOUD FLAT RADIO SP.,289.762485,-17.904622,0,,0.694
2948,[MML2015] 5BZB J1843-7430,280.917542,-74.506719,0.016666667,,,121,21,4.00E-14,BL LAC,320.144537,-25.553772,0,,0.675
2966,[MML2015] 5BZQ J1901-7429,285.271375,-74.490358,0.016666667,0.638,,320,18.9,,QSO RLOUD FLAT RADIO SP.,320.333296,-26.704838,0,,0.661
696,[MML2015] 5BZQ J0448-7417,72.20225,-74.292,0.016666667,1.208,,293,17.9,3.10E-13,QSO RLOUD FLAT RADIO SP.,286.580673,-34.181455,0,,0.599
1414,[MML2015] 5BZQ J1006-7409,151.51725,-74.16225,0.016666667,2.242,,318,19.9,,QSO RLOUD FLAT RADIO SP.,292.182998,-14.851657,0,,0.747
364,[MML2015] 5BZQ J0217-7347,34.437958,-73.789778,0.016666667,1.234,,189,19.5,2.60E-13,QSO RLOUD FLAT RADIO SP.,294.993119,-41.981769,0,,0.71
357,[MML2015] 5BZQ J0216-7331,34.185958,-73.527889,0.016666667,2.679,,101,19,5.00E-14,QSO RLOUD FLAT RADIO SP.,294.924096,-42.24821,0,,0.62
2686,[MML2015] 5BZQ J1634-7310,248.744,-73.176219,0.016666667,1.944,,312,19.4,,QSO RLOUD FLAT RADIO SP.,317.441358,-16.977472,0,,0.736
1131,[MML2015] 5BZQ J0833-7305,128.42975,-73.090608,0.016666667,1.989,,259,20.7,,QSO RLOUD FLAT RADIO SP.,286.82768,-18.937753,0,,0.802
363,[MML2015] 5BZQ J0217-7251,34.398708,-72.857747,0.016666667,0.293,,150,16.6,,QSO RLOUD FLAT RADIO SP.,294.447774,-42.822395,0,,0.45
538,[MML2015] 5BZQ J0332-7249,53.179167,-72.817919,0.016666667,2.739,,246,19.8,,QSO RLOUD FLAT RADIO SP.,288.589251,-39.500789,0,,0.749
777,[MML2015] 5BZB J0533-7216,83.43625,-72.273419,0.016666667,,,155,18.8,,BL LAC,283.222692,-31.630968,0,4.00E-10,0.609
3109,[MML2015] 5BZQ J2039-7206,309.991958,-72.115639,0.016666667,1,,105,16.6,,QSO RLOUD FLAT RADIO SP.,322.170445,-33.958612,0,,0.443
2819,[MML2015] 5BZQ J1732-7200,263.047625,-72.011139,0.016666667,0.62,,230,17.2,,QSO RLOUD FLAT RADIO SP.,320.932238,-19.90952,0,,0.523
465,[MML2015] 5BZQ J0301-7156,45.410208,-71.942889,0.016666667,0.823,,792,19.7,2.00E-13,QSO RLOUD FLAT RADIO SP.,290.011994,-41.763433,206,,0.834
2936,[MML2015] 5BZQ J1837-7108,279.369583,-71.145439,0.016666667,1.356,,1290,16.7,6.50E-13,QSO RLOUD FLAT RADIO SP.,323.686373,-24.456908,538,,0.662
2632,[MML2015] 5BZQ J1616-7108,244.127667,-71.142058,0.016666667,2.271,,459,19.8,,QSO RLOUD FLAT RADIO SP.,318.032597,-14.567663,0,,0.793
80,[MML2015] 5BZB J0028-7045,7.173042,-70.754389,0.016666667,,,94,16.7,,BL LAC,305.639193,-46.254113,0,7.00E-10,0.525
816,[MML2015] 5BZQ J0601-7036,90.296583,-70.602439,0.016666667,2.409,,212,18.5,1.10E-13,QSO RLOUD FLAT RADIO SP.,281.035183,-29.629763,371,3.60E-09,0.63
3020,[MML2015] 5BZQ J1942-7015,295.689208,-70.262328,0.016666667,2.896,,80,19,,QSO RLOUD FLAT RADIO SP.,325.216126,-29.731437,0,,0.571
473,[MML2015] 5BZQ J0304-7007,46.075917,-70.128058,0.016666667,1.115,,238,18.5,7.00E-14,QSO RLOUD FLAT RADIO SP.,288.182936,-42.994314,0,,0.682
2907,[MML2015] 5BZQ J1815-7001,273.96575,-70.0275,0.016666667,0.745,,118,18.9,,QSO RLOUD FLAT RADIO SP.,324.344625,-22.430439,0,,0.642
1750,[MML2015] 5BZQ J1145-6954,176.473417,-69.900497,0.016666667,0.244,,439,15.7,3.05E-12,QSO RLOUD FLAT RADIO SP.,297.31713,-7.746477,692,,0.406
3097,[MML2015] 5BZQ J2035-6944,308.92025,-69.735358,0.016666667,0.875,,16,16.3,,QSO RLOUD FLAT RADIO SP.,325.051074,-34.276202,0,,0.327
3005,[MML2015] 5BZQ J1933-6942,293.379792,-69.716358,0.016666667,1.481,,759,18.7,,QSO RLOUD FLAT RADIO SP.,325.856028,-28.949596,0,,0.741
3149,[MML2015] 5BZQ J2114-6851,318.555833,-68.850639,0.016666667,2.91,,524,19.5,,QSO RLOUD FLAT RADIO SP.,324.692612,-37.780153,0,,0.799
3098,[MML2015] 5BZQ J2035-6846,308.953667,-68.776058,0.016666667,1.084,,305,19,,QSO RLOUD FLAT RADIO SP.,326.173946,-34.525257,507,,0.744
335,[MML2015] 5BZB J0207-6837,31.962208,-68.632,0.016666667,,,310,19,1.40E-13,BL LAC,292.867347,-46.974972,0,3.00E-10,0.733
2557,[MML2015] 5BZB J1546-6837,236.68475,-68.624969,0.016666667,0.19,,205,17.7,6.90E-13,BL LAC CANDIDATE,317.829682,-10.987627,0,,0.492
3544,[MML2015] 5BZQ J2356-6820,359.002792,-68.334308,0.016666667,1.716,,1126,15.9,4.00E-13,QSO RLOUD FLAT RADIO SP.,310.520611,-47.969028,305,,0.589
277,[MML2015] 5BZQ J0143-6813,25.830042,-68.224219,0.016666667,1.223,,20,19,8.00E-14,QSO RLOUD FLAT RADIO SP.,295.759092,-48.175051,0,,0.521
3136,[MML2015] 5BZG J2103-6812,315.90075,-68.200778,0.016666667,0.041,,68,10.2,,BL LAC-GALAXY DOMINATED,325.913825,-37.126767,0,,-0.1
2660,[MML2015] 5BZQ J1624-6809,246.076792,-68.153469,0.016666667,1.354,,1062,16.1,,QSO RLOUD FLAT RADIO SP.,320.742729,-12.998761,219,,0.592
3404,[MML2015] 5BZQ J2303-6807,345.9315,-68.127058,0.016666667,0.516,,384,16.6,1.20E-12,QSO RLOUD FLAT RADIO SP.,316.976245,-45.953338,0,,0.561
3221,[MML2015] 5BZQ J2150-6802,327.55575,-68.047328,0.016666667,1.265,,129,19.3,,QSO RLOUD FLAT RADIO SP.,323.570316,-41.066565,0,,0.684
1758,[MML2015] 5BZQ J1147-6753,176.889167,-67.894939,0.016666667,0.21,,780,16.6,5.00E-13,QSO RLOUD FLAT RADIO SP.,296.958716,-5.767095,998,,0.483
2968,[MML2015] 5BZQ J1903-6749,285.755125,-67.826639,0.016666667,0.255,,241,16.6,6.10E-13,QSO RLOUD FLAT RADIO SP.,327.739178,-26.054777,381,7.00E-10,0.518
996,[MML2015] 5BZQ J0747-6744,116.770792,-67.744528,0.016666667,1.025,,28,18.8,7.00E-14,QSO RLOUD FLAT RADIO SP.,279.911195,-19.936372,0,,0.465
1916,[MML2015] 5BZB J1227-4436,186.861167,-44.610639,0.016666667,,,320,17.1,,BL LAC,298.444279,18.051944,0,,0.533
969,[MML2015] 5BZQ J0738-6735,114.735417,-67.597439,0.016666667,1.663,,517,19.8,,QSO RLOUD FLAT RADIO SP.,279.452584,-20.595511,0,,0.784
799,[MML2015] 5BZQ J0547-6728,86.95925,-67.467139,0.016666667,1.01,,13,16.4,3.80E-13,QSO RLOUD FLAT RADIO SP.,277.474776,-30.971423,0,,0.311
984,[MML2015] 5BZQ J0743-6726,115.881708,-67.440419,0.016666667,1.512,,5638,15.8,7.80E-13,QSO RLOUD FLAT RADIO SP.,279.472686,-20.130308,439,,0.654
1010,[MML2015] 5BZQ J0750-6726,117.748083,-67.439608,0.016666667,1.237,,63,17.9,1.50E-13,QSO RLOUD FLAT RADIO SP.,279.773701,-19.472692,0,,0.455
556,[MML2015] 5BZQ J0340-6703,55.117667,-67.054578,0.016666667,0.478,,400,18.4,6.40E-13,QSO RLOUD FLAT RADIO SP.,282.072295,-42.586433,0,,0.663
2621,[MML2015] 5BZB J1610-6649,242.6935,-66.816997,0.016666667,,,153,16.1,1.48E-12,BL LAC,320.786927,-11.138416,0,2.60E-09,0.309
3143,[MML2015] 5BZB J2108-6637,317.215917,-66.622969,0.016666667,,,327,17,1.62E-12,BL LAC,327.55077,-38.158474,0,6.00E-10,0.494
359,[MML2015] 5BZB J0216-6636,34.211833,-66.611808,0.016666667,,,103,17.1,2.71E-12,BL LAC,290.363438,-48.379198,0,7.00E-10,0.427
198,[MML2015] 5BZQ J0112-6634,18.07875,-66.579219,0.016666667,1.189,,450,17.5,,QSO RLOUD FLAT RADIO SP.,299.678908,-50.416963,0,,0.626
909,[MML2015] 5BZB J0700-6610,105.130167,-66.179219,0.016666667,,,288,15.1,4.50E-13,BL LAC,276.768602,-23.759508,0,3.90E-09,0.34
3429,[MML2015] 5BZQ J2312-6607,348.245167,-66.125469,0.016666667,1.638,,108,18.1,2.30E-13,QSO RLOUD FLAT RADIO SP.,317.556109,-48.111454,0,,0.584
3099,[MML2015] 5BZQ J2035-6602,308.964667,-66.035419,0.016666667,2.296,,354,17.5,,QSO RLOUD FLAT RADIO SP.,329.424943,-35.151376,0,,0.607
495,[MML2015] 5BZQ J0314-6548,48.593458,-65.806889,0.016666667,0.636,,354,17.6,9.00E-13,QSO RLOUD FLAT RADIO SP.,283.00308,-45.397762,0,,0.586
3387,[MML2015] 5BZQ J2256-6533,344.103625,-65.557108,0.016666667,0.248,,361,16.2,7.60E-13,QSO RLOUD FLAT RADIO SP.,320.08822,-47.558372,0,,0.456
1170,[MML2015] 5BZQ J0845-6527,131.29725,-65.456439,0.016666667,2.274,,18,17.2,,QSO RLOUD FLAT RADIO SP.,280.837203,-13.812008,0,,0.323
3123,[MML2015] 5BZQ J2052-6523,313.027958,-65.386528,0.016666667,1.15,,554,16.5,1.14E-12,QSO RLOUD FLAT RADIO SP.,329.704695,-36.929582,0,,0.564
3411,[MML2015] 5BZU J2306-6521,346.747625,-65.358997,0.016666667,0.47,?,372,19.3,,BLAZAR UNCERTAIN TYPE,318.972668,-48.387468,0,,0.705
2880,[MML2015] 5BZQ J1803-6507,270.847917,-65.126889,0.016666667,1.198,,636,16.6,,QSO RLOUD FLAT RADIO SP.,328.829247,-19.620237,476,,0.587
170,[MML2015] 5BZU J0103-6439,15.890458,-64.652108,0.016666667,0.163,,153,14.9,1.92E-12,BLAZAR UNCERTAIN TYPE,300.804456,-52.426033,0,,0.371
502,[MML2015] 5BZB J0316-6437,49.05975,-64.625419,0.016666667,,,18,16.6,3.14E-12,BL LAC,281.550519,-46.034577,0,7.00E-10,0.237
860,[MML2015] 5BZQ J0623-6436,95.782,-64.605778,0.016666667,0.129,,274,13.7,5.34E-12,QSO RLOUD FLAT RADIO SP.,274.311551,-27.319477,529,,0.327
733,[MML2015] 5BZQ J0508-6433,77.084958,-64.554808,0.016666667,0.518,,33,17.1,3.30E-13,QSO RLOUD FLAT RADIO SP.,274.628959,-35.311606,0,,0.432
2864,[MML2015] 5BZB J1754-6423,268.675,-64.396058,0.016666667,,,185,17.7,,BL LAC,329.147491,-18.479279,0,5.00E-10,0.491
797,[MML2015] 5BZQ J0546-6415,86.674292,-64.256078,0.016666667,0.323,,119,15.3,3.06E-12,QSO RLOUD FLAT RADIO SP.,273.73422,-31.23017,0,,0.396
2889,[MML2015] 5BZQ J1807-6413,271.975083,-64.230578,0.016666667,1.016,,95,17.5,,QSO RLOUD FLAT RADIO SP.,329.90383,-19.729184,0,,0.512
3044,[MML2015] 5BZQ J2004-6347,301.122792,-63.789808,0.016666667,2.189,,748,19.2,,QSO RLOUD FLAT RADIO SP.,332.630255,-32.159883,0,,0.807
2910,[MML2015] 5BZU J1819-6345,274.895792,-63.763389,0.016666667,0.063,,19532,13.4,1.24E-12,BLAZAR UNCERTAIN TYPE,330.850953,-20.762589,0,,0.457
374,[MML2015] 5BZQ J0220-6330,35.225708,-63.505389,0.016666667,1.478,,380,18.9,1.30E-13,QSO RLOUD FLAT RADIO SP.,287.341619,-50.828766,0,,0.731
2857,[MML2015] 5BZQ J1749-6258,267.357083,-62.971919,0.016666667,1.215,,263,17.8,,QSO RLOUD FLAT RADIO SP.,330.238395,-17.342695,0,,0.594
867,[MML2015] 5BZB J0628-6248,97.2395,-62.812419,0.016666667,,,528,19.9,,BL LAC,272.409595,-26.450653,0,6.00E-10,0.88
141,[MML2015] 5BZB J0051-6242,12.819333,-62.701219,0.016666667,,,43,16.7,2.89E-12,BL LAC,302.96357,-54.427022,0,1.40E-09,0.324
929,[MML2015] 5BZQ J0719-6218,109.768583,-62.300669,0.016666667,1.247,,286,19.4,,QSO RLOUD FLAT RADIO SP.,273.367682,-20.729866,0,,0.718
336,[MML2015] 5BZQ J0208-6216,32.004833,-62.276528,0.016666667,2.382,,204,17.7,,QSO RLOUD FLAT RADIO SP.,288.372306,-52.633061,0,,0.586
2760,[MML2015] 5BZQ J1703-6212,255.90225,-62.211108,0.016666667,1.747,,731,17.6,,QSO RLOUD FLAT RADIO SP.,328.116658,-12.433094,964,3.30E-09,0.645
471,[MML2015] 5BZQ J0303-6211,45.960958,-62.190419,0.016666667,1.391,,2455,17.8,5.10E-13,QSO RLOUD FLAT RADIO SP.,280.22877,-48.689444,0,1.10E-09,0.797
3019,[MML2015] 5BZU J1941-6211,295.340708,-62.189189,0.016666667,,,1831,20,,BLAZAR UNCERTAIN TYPE,334.505642,-29.541459,0,6.00E-10,0.85
748,[MML2015] 5BZB J0516-6207,79.187208,-62.118169,0.016666667,1.3,?,418,17.5,3.10E-12,BL LAC,271.509666,-34.761222,764,3.10E-09,0.559
213,[MML2015] 5BZB J0116-6153,19.081708,-61.895419,0.016666667,,,27,17.8,,BL LAC,297.826695,-54.98544,0,3.00E-10,0.38
884,[MML2015] 5BZQ J0642-6150,100.695792,-61.835747,0.016666667,1.223,,247,19.3,,QSO RLOUD FLAT RADIO SP.,271.655986,-24.699187,0,,0.693
334,[MML2015] 5BZQ J0206-6143,31.666667,-61.725608,0.016666667,0.732,,233,20.3,,QSO RLOUD FLAT RADIO SP.,288.16483,-53.192579,0,,0.815
409,[MML2015] 5BZQ J0236-6136,39.221833,-61.604219,0.016666667,0.467,,604,17.6,7.30E-13,QSO RLOUD FLAT RADIO SP.,283.195951,-51.292456,426,2.80E-09,0.642
20,[MML2015] 5BZQ J0007-6113,1.83575,-61.218419,0.016666667,0.857,,87,19.3,,QSO RLOUD FLAT RADIO SP.,312.194025,-55.109807,0,,0.685
3162,[MML2015] 5BZQ J2121-6111,320.266958,-61.190169,0.016666667,1.017,,973,17.8,,QSO RLOUD FLAT RADIO SP.,333.567917,-41.306365,0,,0.708
729,[MML2015] 5BZQ J0506-6109,76.68325,-61.161389,0.016666667,1.093,,1800,16.9,1.00E-12,QSO RLOUD FLAT RADIO SP.,270.550423,-36.072152,514,,0.698
757,[MML2015] 5BZQ J0522-6107,80.643458,-61.132528,0.016666667,1.4,,741,18.1,3.50E-13,QSO RLOUD FLAT RADIO SP.,270.230867,-34.179122,0,,0.717
779,[MML2015] 5BZQ J0534-6106,83.649,-61.101969,0.016666667,1.997,,451,19.6,2.30E-13,QSO RLOUD FLAT RADIO SP.,270.07866,-32.732759,243,,0.79
731,[MML2015] 5BZQ J0507-6104,76.97775,-61.078639,0.016666667,1.089,,842,17.7,4.70E-13,QSO RLOUD FLAT RADIO SP.,270.42283,-35.94399,188,1.30E-09,0.685
485,[MML2015] 5BZQ J0309-6058,47.483708,-60.977528,0.016666667,1.479,,992,18,2.90E-13,QSO RLOUD FLAT RADIO SP.,278.117539,-48.941194,502,1.10E-09,0.746
837,[MML2015] 5BZQ J0610-6058,92.62625,-60.977247,0.016666667,1.773,,350,20.1,2.10E-13,QSO RLOUD FLAT RADIO SP.,270.064434,-28.387572,0,5.00E-10,0.816
3001,[MML2015] 5BZQ J1930-6056,292.525667,-60.935889,0.016666667,3.254,,692,19.3,3.40E-13,QSO RLOUD FLAT RADIO SP.,335.815285,-28.10955,0,,0.79
722,[MML2015] 5BZU J0504-6049,76.007042,-60.831247,0.016666667,1.037,?,564,19.3,2.00E-13,BLAZAR UNCERTAIN TYPE,270.209792,-36.447715,0,,0.713
659,[MML2015] 5BZQ J0433-6030,68.392125,-60.503828,0.016666667,0.93,,415,18,1.30E-13,QSO RLOUD FLAT RADIO SP.,270.850591,-40.15639,163,9.00E-10,0.691
3166,[MML2015] 5BZQ J2124-6028,321.012417,-60.469169,0.016666667,1.098,,34,16.9,,QSO RLOUD FLAT RADIO SP.,334.309905,-41.892863,0,,0.4
688,[MML2015] 5BZG J0445-6014,71.256292,-60.249919,0.016666667,0.097,,54,13.7,,BL LAC-GALAXY DOMINATED,270.065155,-38.852083,0,8.00E-10,0.089
441,[MML2015] 5BZQ J0251-6000,42.859292,-60.00175,0.016666667,1.373,,274,19.3,,QSO RLOUD FLAT RADIO SP.,279.373555,-51.284112,0,,0.747
559,[MML2015] 5BZQ J0341-5954,55.34,-59.902469,0.016666667,2.064,,377,18.3,3.50E-13,QSO RLOUD FLAT RADIO SP.,273.544932,-46.357343,0,,0.68
2931,[MML2015] 5BZB J1834-5948,278.564208,-59.813139,0.016666667,0.435,?,221,18.6,1.80E-13,BL LAC CANDIDATE,335.451265,-21.138973,0,,0.544
2994,[MML2015] 5BZB J1925-5935,291.351458,-59.592308,0.016666667,0.436,,229,18.1,,BL LAC,337.245305,-27.373052,0,,0.548
3380,[MML2015] 5BZQ J2254-5926,343.73675,-59.433528,0.016666667,1.919,,163,19,,QSO RLOUD FLAT RADIO SP.,326.63441,-51.998583,0,,0.675
895,[MML2015] 5BZQ J0649-5920,102.369208,-59.341278,0.016666667,2.272,,21,19.5,,QSO RLOUD FLAT RADIO SP.,269.198198,-23.336443,0,,0.518
2932,[MML2015] 5BZB J1834-5856,278.614458,-58.943419,0.016666667,,,373,18.3,1.50E-13,BL LAC,336.345593,-20.893779,0,,0.656
2937,[MML2015] 5BZQ J1837-5848,279.474167,-58.8025,0.016666667,3.04,,180,18.6,,QSO RLOUD FLAT RADIO SP.,336.635531,-21.273483,0,,0.618
3521,[MML2015] 5BZQ J2348-5847,357.1865,-58.786578,0.016666667,1.585,,78,19,,QSO RLOUD FLAT RADIO SP.,317.631899,-56.516498,0,,0.607
278,[MML2015] 5BZB J0143-5845,25.947542,-58.764278,0.016666667,,,28,16.6,1.14E-11,BL LAC,290.454377,-57.077729,0,1.20E-09,0.277
400,[MML2015] 5BZQ J0231-5841,37.8205,-58.685219,0.016666667,2.079,,295,17.4,5.00E-13,QSO RLOUD FLAT RADIO SP.,281.027543,-53.990028,0,,0.582
907,[MML2015] 5BZU J0658-5840,104.557417,-58.674328,0.016666667,0.421,,436,20,,BLAZAR UNCERTAIN TYPE,268.82223,-22.073958,0,,0.723
767,[MML2015] 5BZU J0528-5820,82.144667,-58.338139,0.016666667,0.254,,282,16.3,2.50E-13,BLAZAR UNCERTAIN TYPE,266.814551,-33.597662,0,,0.378
429,[MML2015] 5BZB J0244-5819,41.167875,-58.331808,0.016666667,0.265,,90,16.1,7.26E-12,BL LAC,278.448075,-53.077948,0,,0.337
